ATC Catalogue;;;;
anatomical_grp;therapeutic_subgrp;pharmacol_subgrp;chem_subgrp;chem_substance
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05F - COUGH SUPPRESSANTS AND EXPECTORANTS -  COMBINATIONS;R05FB - Other cough suppressants and expectorants in ATC;R05FB01 - cough suppressants and mucolytics
N - NERVOUS SYSTEM DRUGS;N07 - OTHER NERVOUS SYSTEM DRUGS in ATC;N07A - PARASYMPATHOMIMETICS;N07AA - Anticholinesterase parasympathomimetics;N07AA02 - pyridostigmine
M - MUSCULO-SKELETAL SYSTEM DRUGS;M04 - ANTIGOUT PREPARATIONS;M04A - ANTIGOUT PREPARATIONS;M04AB - Preparations increasing uric acid excretion;M04AB03 - benzbromarone
N - NERVOUS SYSTEM DRUGS;N07 - OTHER NERVOUS SYSTEM DRUGS in ATC;N07B - DRUGS USED IN ADDICTIVE DISORDERS;N07BB - Drugs used in alcohol dependence;N07BB05 - nalmefene
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AL - Pneumococcal vaccines;J07AL02 - pneumococcus -  purified polysaccharides antigen conjugated
D - DERMATOLOGICALS;D09 - MEDICATED DRESSINGS;D09A - MEDICATED DRESSINGS;D09AA - Medicated dressings with antiinfectives;D09AA05 - benzododecinium
D - DERMATOLOGICALS;D10 - ANTI-ACNE PREPARATIONS;D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE;D10AF - Antiinfectives for treatment of acne;D10AF03 - chloramphenicol
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AB - Sympathomimetics -  combinations excl. corticosteroids;R01AB05 - ephedrine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01C - BETA-LACTAM ANTIBACTERIALS -  PENICILLINS;J01CE - Beta-lactamase sensitive penicillins;J01CE02 - phenoxymethylpenicillin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03F - PROPULSIVES;A03FA - Propulsives;A03FA02 - cisapride
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06B - PSYCHOSTIMULANTS -  AGENTS USED FOR ADHD AND NOOTROPICS;N06BX - Other psychostimulants and nootropics in ATC;N06BX11 - aniracetam
S - SENSORY ORGAN DRUGS;S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS;S03C - Corticosteroids and antiinfectives in combination -  opthalmologic and otologic;S03CA - Corticosteroids and antiinfectives in combination;S03CA04 - hydrocortisone and antiinfectives
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AD - Corticosteroid nasal preparations for topical use;R01AD06 - betamethasone
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01A - ANESTHETICS -  GENERAL;N01AH - Opioid anesthetics;N01AH51 - fentanyl -  combinations
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AH - Coxibs;M01AH01 - celecoxib
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AE - Direct thrombin inhibitors;B01AE05 - ximelagatran
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BD - Combinations of oral blood glucose lowering drugs;A10BD02 - metformin and sulfonylureas
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05D - COUGH SUPPRESSANTS -  EXCL. COMBINATIONS WITH EXPECTORANTS;R05DB - Other cough suppressants in ATC;R05DB11 - pipazetate
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01R - COMBINATIONS OF ANTIBACTERIALS;J01RA - Combinations of antibacterials;J01RA01 - penicillins -  combinations with other antibacterials
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07C - BACTERIAL AND VIRAL VACCINES -  COMBINED;J07CA - Bacterial and viral vaccines -  combined;J07CA02 - diphtheria-pertussis-poliomyelitis-tetanus
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AB - Sympathomimetics -  combinations excl. corticosteroids;R01AB08 - tuaminoheptane
S - SENSORY ORGAN DRUGS;S02 - OTOLOGICALS;S02D - OTHER OTOLOGICALS in ATC;S02DA - Analgesics and anesthetics;S02DA30 - otologic analgesic and anesthetic combinations
G - GENITO URINARY SYSTEM AND SEX HORMONES;G02 - OTHER GYNECOLOGICALS in ATC;G02A - UTEROTONICS;G02AB - Ergot alkaloid oxytocics;G02AB02 - ergot alkaloids
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09B - ACE INHIBITORS -  COMBINATIONS;C09BX - ACE inhibitors -  other combinations in ATC;C09BX01 - perindopril -  amlodipine and indapamide
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L04 - IMMUNOSUPPRESSANTS;L04A - IMMUNOSUPPRESSANTS;L04AA - Selective immunosuppressants;L04AA25 - eculizumab
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AX - Other antihistamines for systemic use in ATC;R06AX18 - acrivastine
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07B - BETA BLOCKING AGENTS AND THIAZIDES;C07BA - Beta blocking agents -  non-selective -  and thiazides;C07BA06 - timolol and thiazides
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;G03AA - Progestogens and estrogen systemic contraceptives -  fixed combinations;G03AA07 - levonorgestrel and ethinylestradiol
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AF - Diphtheria vaccines;J07AF01 - diphtheria toxoid
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B03 - ANTIANEMIC PREPARATIONS;B03A - IRON ANTIANEMIC PREPARATIONS;B03AA - Iron bivalent -  oral antianemic preparations;B03AA08 - ferrous tartrate
D - DERMATOLOGICALS;D03 - PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS;D03A - CICATRIZANTS;D03AX - Other cicatrizants in ATC;D03AX13 - Betulae cortex
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05C - EXPECTORANTS -  EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS;R05CA - Expectorants;R05CA11 - levoverbenone
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01F - MACROLIDES -  LINCOSAMIDES AND STREPTOGRAMINS;J01FA - Macrolides;J01FA09 - clarithromycin
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01G - DECONGESTANTS AND ANTIALLERGICS;S01GA - Sympathomimetics used as decongestants;S01GA03 - xylometazoline
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC;R03DB - Xanthines and adrenergics;R03DB01 - diprophylline and adrenergics
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01E - ANTIGLAUCOMA PREPARATIONS AND MIOTICS;S01EA - Sympathomimetics in glaucoma therapy;S01EA05 - brimonidine
M - MUSCULO-SKELETAL SYSTEM DRUGS;M05 - DRUGS FOR TREATMENT OF BONE DISEASES;M05B - DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION;M05BA - Bisphosphonate drugs affecting bone structure and mineralization;M05BA01 - etidronic acid
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10A - INSULINS AND ANALOGUES;A10AE - Insulins and analogues for injection -  long-acting;A10AE54 - insulin glargine and lixisenatide
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03F - PROGESTOGENS AND ESTROGENS IN COMBINATION;G03FA - Progestogens and estrogens -  fixed combinations;G03FA17 - drospirenone and estrogen
V - VARIOUS DRUG CLASSES IN ATC;V10 - THERAPEUTIC RADIOPHARMACEUTICALS;V10A - ANTIINFLAMMATORY THERAPEUTIC RADIOPHARMACEUTICALS;V10AX - Other antiinflammatory therapeutic radiopharmaceuticals in ATC;V10AX02 - samarium (153Sm) hydroxyapatite colloid
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07C - BETA BLOCKING AGENTS AND OTHER DIURETICS;C07CB - Beta blocking agents -  selective -  and other diuretics;C07CB53 - atenolol and other diuretics -  combinations
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07C - BACTERIAL AND VIRAL VACCINES -  COMBINED;J07CA - Bacterial and viral vaccines -  combined;J07CA05 - diphtheria-hepatitis B-pertussis-tetanus
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03B - BELLADONNA AND DERIVATIVES CONTAINING DRUGS -  PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03BB - Belladonna alkaloids -  semisynthetic -  quaternary ammonium compounds for functional gastrointestinal disorders;A03BB05 - cimetropium bromide
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DC - Second-generation cephalosporins;J01DC14 - flomoxef
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16AX - Various alimentary tract and metabolism products;A16AX05 - zinc acetate
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AR - Typhus (exanthematicus) vaccines;J07AR01 - typhus exanthematicus -  inactivated -  whole cell
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04B - UROLOGICALS;G04BE - Drugs used in erectile dysfunction;G04BE01 - alprostadil
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01C - CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES;C01CE - Phosphodiesterase inhibitors -  cardiac stimulant;C01CE03 - enoximone
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07X - CORTICOSTEROIDS -  OTHER COMBINATIONS;D07XB - Corticosteroids -  moderately potent -  other combinations;D07XB05 - dexamethasone
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AE - Piperazine derivatives -  systemic antihistamines;R06AE07 - cetirizine
D - DERMATOLOGICALS;D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE;D06BA - Sulfonamides -  topical;D06BA01 - silver sulfadiazine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AX - Other drugs for functional gastrointestinal disorders in ATC;A03AX11 - caroverine
C - CARDIOVASCULAR SYSTEM DRUGS;C05 - VASOPROTECTIVES;C05C - CAPILLARY STABILIZING AGENTS;C05CX - Other capillary stabilizing agents in ATC;C05CX01 - tribenoside
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AB - Interferons;L03AB03 - interferon gamma
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07A - CORTICOSTEROID DERMATOLOGICAL PREPARATIONS -  PLAIN;D07AB - Corticosteroids -  moderately potent (group II);D07AB07 - fluprednidene
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01X - OTHER ANTIBACTERIALS in ATC;J01XB - Polymyxins;J01XB01 - colistin
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AD - Antivirals -  ophthalmologic;S01AD09 - ganciclovir
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AF - Imidazole derivatives -  gyncological antiinfectives;G01AF01 - metronidazole
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01E - SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE;J01ED - Long-acting sulfonamides;J01ED01 - sulfadimethoxine
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01A - ANESTHETICS -  GENERAL;N01AH - Opioid anesthetics;N01AH04 - phenoperidine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AA - Antibiotics -  Gynecological;G01AA07 - oxytetracycline
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A04 - ANTIEMETICS AND ANTINAUSEANTS;A04A - ANTIEMETICS AND ANTINAUSEANTS;A04AD - Other antiemetics in ATC;A04AD05 - metopimazine
S - SENSORY ORGAN DRUGS;S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS;S03C - Corticosteroids and antiinfectives in combination -  opthalmologic and otologic;S03CA - Corticosteroids and antiinfectives in combination;S03CA01 - dexamethasone and antiinfectives
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P01 - ANTIPROTOZOALS;P01B - ANTIMALARIALS;P01BA - Aminoquinoline antimalarials;P01BA01 - chloroquine
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02K - OTHER ANTIHYPERTENSIVES in ATC;C02KD - Serotonin antagonists -  antihypertensives;C02KD01 - ketanserin
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P01 - ANTIPROTOZOALS;P01B - ANTIMALARIALS;P01BC - Methanolquinolines -  antimalarial;P01BC02 - mefloquine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AG - Non-nucleoside reverse transcriptase inhibitors;J05AG03 - efavirenz
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H02 - CORTICOSTEROIDS FOR SYSTEMIC USE;H02A - CORTICOSTEROIDS FOR SYSTEMIC USE -  PLAIN;H02AB - Glucocorticoids -  Systemic;H02AB05 - paramethasone
M - MUSCULO-SKELETAL SYSTEM DRUGS;M02 - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN;M02A - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN;M02AX - Other topical products for joint and muscular pain in ATC;M02AX10 - various other intestinal adsorbents in ATC
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10A - INSULINS AND ANALOGUES;A10AB - Insulins and analogues for injection -  fast-acting;A10AB03 - insulin (pork)
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AB - Phenylpiperidine derivatives -  opioid analgesics;N02AB01 - ketobemidone
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DC - Second-generation cephalosporins;J01DC01 - cefoxitin
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01E - SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE;J01ED - Long-acting sulfonamides;J01ED04 - sulfametoxydiazine
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01B - ANTIINFLAMMATORY AGENTS -  OPHTHALMOLOGIC;S01BA - Corticosteroid ophthalmologic antiinflammatory agents -  plain;S01BA06 - betamethasone
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A06 - DRUGS FOR CONSTIPATION;A06A - DRUGS FOR CONSTIPATION;A06AD - Osmotically acting laxatives;A06AD18 - sorbitol
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AX - Other antidepressants in ATC;N06AX09 - viloxazine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10A - INSULINS AND ANALOGUES;A10AB - Insulins and analogues for injection -  fast-acting;A10AB06 - insulin glulisine
M - MUSCULO-SKELETAL SYSTEM DRUGS;M03 - MUSCLE RELAXANTS;M03B - MUSCLE RELAXANTS -  CENTRALLY ACTING AGENTS;M03BX - Other centrally acting agents in ATC;M03BX05 - thiocolchicoside
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XC - Monoclonal antibodies -  antineoplastic;L01XC23 - elotuzumab
M - MUSCULO-SKELETAL SYSTEM DRUGS;M03 - MUSCLE RELAXANTS;M03B - MUSCLE RELAXANTS -  CENTRALLY ACTING AGENTS;M03BB - Oxazol -  thiazine -  and triazine derivatives centrally acting muscle relaxants;M03BB03 - chlorzoxazone
D - DERMATOLOGICALS;D09 - MEDICATED DRESSINGS;D09A - MEDICATED DRESSINGS;D09AA - Medicated dressings with antiinfectives;D09AA02 - fusidic acid
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AE - Direct thrombin inhibitors;B01AE02 - lepirudin
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BA - Benzodiazepine derivative anxiolytics;N05BA04 - oxazepam
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AC - Substituted ethylene diamines -  systemic antihistamines;R06AC53 - chloropyramine -  combinations
D - DERMATOLOGICALS;D11 - OTHER DERMATOLOGICAL PREPARATIONS in ATC;D11A - OTHER DERMATOLOGICAL PREPARATIONS in ATC;D11AX - OTHER DERMATOLOGICAL PREPARATIONS IN ATC;D11AX13 - monobenzone
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BE - Anilide analgesics and antipyretics;N02BE01 - paracetamol
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AE - Drugs for treatment of hyperkalemia and hyperphosphatemia;V03AE06 - colestilan
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BG - Other analgesics and antipyretics in ATC;N02BG02 - rimazolium
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01D - VASODILATORS USED IN CARDIAC DISEASES;C01DA - Organic nitrates used in cardiac disease;C01DA55 - pentaerithrityl tetranitrate -  combinations
M - MUSCULO-SKELETAL SYSTEM DRUGS;M02 - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN;M02A - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN;M02AA - Antiinflammatory preparations -  non-steroids for topical use;M02AA23 - indometacin
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B06 - OTHER HEMATOLOGICAL AGENTS in ATC;B06A - OTHER HEMATOLOGICAL AGENTS in ATC;B06AA - Enzymes -  hematological;B06AA55 - streptokinase -  combinations
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L04 - IMMUNOSUPPRESSANTS;L04A - IMMUNOSUPPRESSANTS;L04AC - Interleukin inhibitors;L04AC08 - canakinumab
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P01 - ANTIPROTOZOALS;P01B - ANTIMALARIALS;P01BE - Artemisinin and derivatives -  plain;P01BE02 - artemether
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE36 - alectinib
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AA - Antibiotics -  ophthalmologic;S01AA01 - chloramphenicol
C - CARDIOVASCULAR SYSTEM DRUGS;C08 - CALCIUM CHANNEL BLOCKERS;C08C - SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS;C08CX - Other selective calcium channel blockers with mainly vascular effects in ATC;C08CX01 - mibefradil
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AE - Drugs for treatment of hyperkalemia and hyperphosphatemia;V03AE09 - patiromer calcium
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H03 - THYROID THERAPY DRUGS;H03B - ANTITHYROID PREPARATIONS;H03BA - Thiouracil antithyroid preparations;H03BA03 - benzylthiouracil
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P03 - ECTOPARASITICIDES -  INCL. SCABICIDES -  INSECTICIDES AND REPELLENTS;P03A - ECTOPARASITICIDES -  INCL. SCABICIDES;P03AX - Other ectoparasiticides -  incl. scabicides in ATC;P03AX02 - copper oleinate
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BE - Anilide analgesics and antipyretics;N02BE04 - bucetin
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AB - Phenothiazines with piperazine structure -  antipsychotics;N05AB01 - dixyrazine
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09D - HEPATIC AND RETICULO ENDOTHELIAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09DB - Technetium 99m particles and colloid diagnostic radiopharmaceuticals for hepatic and reticulo endothelial system;V09DB07 - technetium (99mTc) phytate
M - MUSCULO-SKELETAL SYSTEM DRUGS;M04 - ANTIGOUT PREPARATIONS;M04A - ANTIGOUT PREPARATIONS;M04AA - Preparations inhibiting uric acid production;M04AA03 - febuxostat
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AX - Other antipsychotics in ATC;N05AX16 - brexpiprazole
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AD - Benzomorphan derivative analgesics;N02AD01 - pentazocine
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01C - SPECIFIC ANTIRHEUMATIC AGENTS;M01CC - Penicillamine and similar antirheumatic agents;M01CC01 - penicillamine
V - VARIOUS DRUG CLASSES IN ATC;V04 - DIAGNOSTIC AGENTS;V04C - OTHER DIAGNOSTIC AGENTS in ATC;V04CJ - thyreoidea function test diagnostic agents;V04CJ02 - protirelin
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09G - CARDIOVASCULAR SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09GA - Technetium 99m compounds -  cardiovascular system diagnostic radiopharmaceuticals;V09GA04 - technetium (99mTc) human albumin
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07A - BETA BLOCKING AGENTS;C07AA - Beta blocking agents -  non-selective;C07AA16 - tertatolol
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC;R03DA - Xanthines -  systemic for obstructive airway disease;R03DA10 - bufylline
V - VARIOUS DRUG CLASSES IN ATC;V04 - DIAGNOSTIC AGENTS;V04C - OTHER DIAGNOSTIC AGENTS in ATC;V04CH - renal function and ureteral injuries test diagnostic agents;V04CH04 - alsactide
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AG - Diphenylbutylpiperidine derivatives -  antipsychotics;N05AG03 - penfluridol
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AR - Antivirals for treatment of HIV infections -  combinations;J05AR15 - atazanavir and cobicistat
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08D - ULTRASOUND CONTRAST MEDIA;V08DA - Ultrasound contrast media;V08DA01 - microspheres of human albumin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX59 - enasidenib
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09G - CARDIOVASCULAR SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09GA - Technetium 99m compounds -  cardiovascular system diagnostic radiopharmaceuticals;V09GA07 - technetium (99mTc) apcitide
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BC - Carbamate anxiolytics;N05BC04 - mebutamate
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08A - X-RAY CONTRAST MEDIA -  IODINATED;V08AB - Watersoluble -  nephrotropic -  low osmolar X-ray contrast media;V08AB04 - iopamidol
